time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/loss,train/clip_range,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/approx_kl,train/explained_variance,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
121,25,123904,4844,-0.012998785823583603,0.2,480,-1.431017480790615,-0.001621700735995546,0.0003,0.0,0.0010490993,0.8363796472549438,0.0006507836405944545,264.98,0.20194447000000004
122,25,124928,4847,-0.014627216383814812,0.2,484,-1.4306076690554619,-0.0009997568122344092,0.0003,0.0,0.000805518,0.6187381148338318,0.0036671764974016696,264.98,0.20194447000000004
123,25,125952,4850,-0.03237350285053253,0.2,488,-1.5087370797991753,-0.002334684249944985,0.0003,0.0419921875,0.006768021,0.8201017379760742,0.0008425958440057002,268.42,0.19138891000000002
124,26,126976,4853,-0.015977397561073303,0.2,492,-1.5189938470721245,-0.0016305729805026203,0.0003,0.0,0.0011829736,0.7585691809654236,0.0010798333496495616,269.78,0.18661113000000001
125,26,128000,4856,-0.02148444391787052,0.2,496,-1.578476034104824,-0.002638821257278323,0.0003,0.067138671875,0.014012674,0.9339020848274231,0.00035322431449458236,268.43,0.19136113000000002
126,26,129024,4859,-0.027335375547409058,0.2,500,-1.650632381439209,-0.0023982165148481727,0.0003,0.0,0.0015921132,0.6476922631263733,0.0017840916407294571,274.05,0.17275002
127,26,130048,4861,-0.016884593293070793,0.2,504,-1.7069101706147194,-0.0015844235895201564,0.0003,0.0,0.0022145954,0.9225839972496033,0.0002592585906313616,274.88,0.16944446
128,28,131072,4523,-0.02024628408253193,0.2,508,-1.7537574991583824,-0.001364558978821151,0.0003,0.0166015625,0.0054101245,0.5412145256996155,0.0008717741711734561,277.76,0.16144446
129,29,132096,4528,-0.023030761629343033,0.2,512,-1.7581761106848717,-0.001514121046056971,0.0003,0.0,0.0011145291,0.6807712912559509,0.0007649994386156322,276.56,0.16577779
130,29,133120,4533,-0.02342289313673973,0.2,516,-1.721490502357483,-0.0020662678580265492,0.0003,0.0,0.0023289297,0.8064268827438354,0.0006934448429092299,276.56,0.16577779000000004
131,29,134144,4538,-0.020617255941033363,0.2,520,-1.7451610192656517,-0.0023374349693767726,0.0003,0.019775390625,0.007358198,0.9316716194152832,0.00013949406047686352,277.36,0.16255558
132,29,135168,4543,-0.01768399029970169,0.2,524,-1.7985573410987854,9.336625225841999e-06,0.0003,0.0,0.0005682315,0.6595418453216553,0.002316592261195183,279.1,0.15772225
133,29,136192,4548,-0.022639179602265358,0.2,528,-1.7433969229459763,-0.005658735215547495,0.0003,0.059326171875,0.010857531,0.873058557510376,0.00042176585702691227,280.25,0.15352781000000001
134,30,137216,4552,-0.02611081302165985,0.2,532,-1.7375161573290825,-0.0035716367419809103,0.0003,0.00048828125,0.0054676062,0.8957432508468628,0.00019510884339979384,285.32,0.13744447
135,30,138240,4556,-0.028027620166540146,0.2,536,-1.780328057706356,-0.002686655498109758,0.0003,0.068603515625,0.013097327,0.8890210390090942,0.00014517197087116074,284.75,0.1400278
136,30,139264,4561,-0.02208290807902813,0.2,540,-1.8328264206647873,-0.0013355414848774672,0.0003,0.0,0.0024200156,0.8329841494560242,0.000362450109605561,284.91,0.13958336000000002
137,30,140288,4564,-0.024930467829108238,0.2,544,-1.8395079225301743,-0.0013952856097603217,0.0003,0.0,0.0012114497,0.7761200666427612,0.0009492263707215898,287.42,0.13061114
138,30,141312,4568,-0.02219870500266552,0.2,548,-1.789200820028782,-0.0012366733280941844,0.0003,0.0,0.0027691317,0.8546122908592224,0.0008166434254235355,287.42,0.13061114
139,31,142336,4572,-0.020760225132107735,0.2,552,-1.7359895184636116,-0.0029311455436982214,0.0003,0.010009765625,0.005969702,0.8211138844490051,0.0006931063217052724,290.14,0.12105557999999998
140,31,143360,4576,-0.019604487344622612,0.2,556,-1.6816190481185913,-0.0013488242111634463,0.0003,0.0048828125,0.003109227,0.8098082542419434,0.0003096623404417187,289.03,0.12313890999999998
141,31,144384,4581,-0.01778016798198223,0.2,560,-1.7422903999686241,-0.001099788525607437,0.0003,0.0,0.00096640637,0.3641854524612427,0.0057447132567176595,286.21,0.13297224
