rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/explained_variance,train/loss,train/entropy_loss,train/approx_kl,train/clip_range,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/value_loss,train/learning_rate
17.85,0.83935,23,4571,107,109568,0.022320330142974854,-0.0037728510797023773,-0.6047307141125202,0.0058257813,0.2,0.03125,424,-0.0016787285421742126,0.012696462275926024,0.0003
18.19,0.8362899999999999,24,4584,108,110592,0.0868871808052063,-0.00016692932695150375,-0.6430288031697273,0.00055513304,0.2,0.0,428,-0.0004813935374841094,0.009801894018892199,0.0003
13.04,0.88264,24,4596,109,111616,-0.08849751949310303,-0.0017101806588470936,-0.6236279159784317,0.009656215,0.2,0.076171875,432,-0.003386567870620638,0.016236741503234953,0.0003
15.42,0.8612199999999998,24,4609,110,112640,0.10364377498626709,-0.0033354931510984898,-0.6210478991270065,0.0071413172,0.2,0.02685546875,436,-0.0016739308775868267,0.012134512653574347,0.0003
17.68,0.84088,24,4621,111,113664,0.1293696165084839,-0.0026565263979136944,-0.5637996196746826,0.00069776457,0.2,0.0,440,-0.0009556559671182185,0.009010393754579127,0.0003
18.5,0.8334999999999999,25,4554,112,114688,0.0021988749504089355,0.0001746942289173603,-0.5465817451477051,0.006934017,0.2,0.03662109375,444,-0.0018069397483486682,0.014373425743542612,0.0003
15.71,0.8586100000000001,25,4565,113,115712,0.05258899927139282,0.003000438679009676,-0.5928296819329262,0.0056245737,0.2,0.024169921875,448,-0.0016649590252200142,0.01382672309409827,0.0003
15.46,0.86086,25,4576,114,116736,0.08203089237213135,-0.0031515387818217278,-0.6109394282102585,0.00052644225,0.2,0.0,452,-0.0008772507426328957,0.01508522272342816,0.0003
17.96,0.8383599999999999,25,4589,115,117760,0.14245474338531494,-0.0007604639977216721,-0.6138015240430832,0.0014774638,0.2,0.0,456,-0.0006086321955081075,0.009003432933241129,0.0003
17.9,0.8388999999999999,25,4600,116,118784,0.06999289989471436,0.00729415426030755,-0.6122518703341484,0.004503216,0.2,0.00830078125,460,-0.0005744100199081004,0.011640980606898665,0.0003
17.12,0.8459199999999999,25,4612,117,119808,0.11300837993621826,0.0014444026164710522,-0.6166161373257637,0.0027614848,0.2,0.00048828125,464,-0.0007638997340109199,0.01619700767332688,0.0003
14.83,0.8665299999999999,26,4623,118,120832,0.1433919072151184,-0.00016017304733395576,-0.5827948823571205,0.00090262544,0.2,0.0,468,-0.00045539322309195995,0.011712402570992708,0.0003
15.87,0.85717,26,4635,119,121856,0.05300319194793701,-0.001458446029573679,-0.5818178653717041,0.0041398867,0.2,0.0166015625,472,-0.0013749227509833872,0.01217181165702641,0.0003
16.49,0.8505900000000001,26,4564,120,122880,0.10237205028533936,-0.009020611643791199,-0.5522886030375957,0.0026444877,0.2,0.064453125,476,-0.002979604440042749,0.00806881592143327,0.0003
14.67,0.8679700000000001,27,4575,121,123904,0.04771906137466431,-0.00381943816319108,-0.5191950350999832,0.0045247707,0.2,0.023193359375,480,-0.002105363833834417,0.007944032637169585,0.0003
